5 3 A #3 = 0, #5 = 5
7 3 CAAAABAABBAABBAAABABA #3 = 14, #5 = 2
7 3 CAAAABAABBAABBBAABBA #3 = 16, #5 = 2
7 4 CBAAAAAAABA #3 = 4, #5 = 2
7 4 CBAAAAAAABAAABA #3 = 6, #5 = 2
7 4 CBAAAAAAABAAABAAAAABA #3 = 8, #5 = 2
7 4 CBAAAAAAABAAABBAAABA #3 = 10, #5 = 2
7 4 CBAAAAAAABAAABBAAABBA #3 = 12, #5 = 2
7 1 CBAAABAAAAAAAABA #3 = 6, #5 = 2
7 2 CBAAABAAAAAAAABAAAABA #3 = 8, #5 = 2
7 3 CBAAABAAAAAAAABAAAAB #3 = 10, #5 = 2
7 2 CBAAABAAABA #3 = 6, #5 = 2
7 3 CBAAABAAABAAAAAAAAAAB #3 = 8, #5 = 2
7 1 CBAAABAAABAAAABA #3 = 8, #5 = 2
7 2 CBAAABAAABAAAABAAAAAB #3 = 10, #5 = 2
7 1 CBAAABAAABAAAABAAAAB #3 = 12, #5 = 2
7 2 CBAAABAAABAAABA #3 = 8, #5 = 2
7 1 CBAAABAAABAAABAAAAABA #3 = 10, #5 = 2
7 3 CBAAABAAABAAABBA #3 = 10, #5 = 2
7 2 CBAAABAAABAAABBAAAABA #3 = 12, #5 = 2
7 1 CBAAABAAABAAABBAAAAB #3 = 14, #5 = 2
7 1 CBAAABAAABAAABBAAABA #3 = 12, #5 = 2
7 2 CBAAABAAABAAABBAAABBA #3 = 14, #5 = 2
7 3 CBAAABAAABAAABBAAAB #3 = 16, #5 = 2
7 1 CBAAABAABBAAABA #3 = 10, #5 = 2
7 1 CBAAABAABBAAABAAAAAAB #3 = 12, #5 = 2
7 2 CBAAABAABBAAABAAAAABA #3 = 12, #5 = 2
7 2 CBAAABAABBAAABAAAABAB #3 = 14, #5 = 2
7 1 CBAAABAABBAAABBAAABA #3 = 14, #5 = 2
7 1 CBAAABAABBAAABBAAABAB #3 = 16, #5 = 2
7 1 CBAAABAABBAABBBAAABA #3 = 16, #5 = 2
7 1 CBAAABAABBAABBBAAABBA #3 = 18, #5 = 2
7 1 CBAAACAAAAAAAABA #3 = 4, #5 = 4
7 2 CBAAACAAAAAAAABAAAABA #3 = 6, #5 = 4
7 3 CBAAACAAAAAAAABAAAAB #3 = 8, #5 = 4
7 5 CBAABAAAAAAAAABA #3 = 6, #5 = 2
7 5 CBAABAAAAAAAAABAAAAB #3 = 10, #5 = 2
7 2 CBAABAAABA #3 = 6, #5 = 2
7 3 CBAABAAABAAAAAAAAAAAB #3 = 8, #5 = 2
7 3 CBAABAAABAAAAABA #3 = 8, #5 = 2
7 2 CBAABAAABAAAAABAAAAAB #3 = 10, #5 = 2
7 2 CBAABAAABAAAAABAAAABA #3 = 10, #5 = 2
7 3 CBAABAAABAAAAABAAAAB #3 = 12, #5 = 2
7 2 CBAABAAABAAAABBA #3 = 10, #5 = 2
7 1 CBAABAAABAAAABBAAAABA #3 = 12, #5 = 2
7 2 CBAABAAABAAAABBAAAAB #3 = 14, #5 = 2
